#random sampling: 66029242
Gene	W89	W193	W12	W21	W169	W79	W164	W209	W4	W53	W113	W100	W149	W250	W10	W183	W32	W231	W128	W111	W154	W173	W91	W16	W48	W69	W105	W64	W226	W215	W157	W189	W139	W196	W117	W123	W26	W28	W74	W234	W43	W38	W85
dsrA	212	1542	230	326	692	26	1021	478	1775	1876	187	675	255	491	676	1423	782	418	459	177	1341	656	49	439	1254	1765	132	141	604	168	1500	1620	612	1857	364	920	77	464	309	227	744	830	25
gdh_K00260	0	4	3	4	0	1	4	0	0	3	1	6	1	0	0	17	0	1	4	0	1	3	0	2	15	1	1	1	0	0	3	2	0	3	1	0	5	11	8	0	1	0	0
gdh_K00261	725	388	896	660	813	714	628	526	458	594	812	702	1153	592	506	572	498	582	774	807	406	679	740	485	598	378	762	847	919	832	431	434	554	473	628	575	668	633	716	690	586	548	747
gdh_K00262	29	278	236	124	333	93	373	231	302	340	200	511	113	133	348	296	418	180	298	114	285	247	86	186	404	350	376	238	178	70	307	340	341	312	362	303	88	915	367	73	313	431	101
gdh_K15371	762	835	909	1162	1385	1011	1200	738	417	284	1400	1478	817	428	747	859	1133	596	1122	1059	732	597	1096	622	950	695	1393	1542	522	1003	514	809	416	638	1313	1381	1057	1841	1736	644	1543	483	1249
glnA	1533	1624	2453	2209	2452	2219	2268	1850	1627	1317	2334	2513	1846	1451	1984	1933	2485	1684	2301	1971	1695	1795	2396	1815	2304	2050	2582	2728	1524	2124	1730	1941	1780	1592	1915	2069	2100	3087	2831	1650	2414	1796	2693
glsA	133	139	185	232	162	223	188	256	115	106	251	241	186	122	243	124	375	284	292	239	149	111	327	194	215	294	376	271	118	84	149	253	156	169	194	263	261	455	466	205	275	109	240
gs_K00264	50	71	52	45	47	58	63	89	62	49	48	45	74	53	59	57	80	57	66	64	64	63	51	68	65	71	47	52	54	57	61	77	65	60	47	56	64	37	63	78	31	55	60
gs_K00265	1480	1796	2296	2042	2889	2017	2503	1953	1641	1336	1978	2405	1606	1479	2118	1993	2874	1634	2307	2039	1956	1827	2226	1761	2361	2654	2603	2630	1636	2206	1592	2306	1684	1804	2083	2508	1993	3556	2893	1751	2664	1547	2182
gs_K00266	1784	2602	2109	2266	2972	1684	3144	2425	2752	2870	1762	1817	1966	1608	2337	3088	3022	1904	2356	1723	2274	2941	1923	2130	3036	3167	2283	2047	2768	2334	3134	3246	3009	3156	2356	2442	1663	2326	2430	2183	3010	3074	1638
gs_K00284	297	295	526	392	585	406	581	444	339	241	399	403	370	340	509	368	616	370	426	408	328	377	477	496	459	678	399	513	384	458	348	428	427	296	387	485	417	490	582	428	464	489	412
hao	43	293	33	57	95	22	64	40	89	92	14	18	36	48	56	245	69	59	37	22	243	76	25	64	50	155	29	36	71	33	124	314	46	279	107	36	29	12	27	65	16	51	28
hcp	38	388	290	104	207	63	173	267	378	535	228	95	55	92	474	407	301	291	228	76	574	546	76	327	424	661	176	146	152	77	597	598	639	576	129	519	34	296	182	94	188	478	50
hdh	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hzo	0	0	1	0	7	4	0	1	4	0	0	1	0	4	6	15	0	3	1	0	0	0	2	0	0	0	0	1	3	1	3	5	3	0	6	0	0	5	4	3	0	1	7
hzsA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hzsB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hzsC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mcrA	833	795	1034	1090	1073	1045	1049	799	875	728	1533	1374	1492	656	941	1085	1229	841	1362	1165	810	843	878	696	1041	942	1300	1416	809	904	898	1057	900	805	1258	1264	1217	1371	1449	764	1273	684	1115
nao	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
napA	65	769	330	373	346	228	760	269	724	184	245	287	211	267	682	601	292	347	250	284	364	91	250	463	206	514	255	227	135	91	376	807	149	387	569	198	208	181	319	189	113	114	253
napB	8	9	12	18	6	16	27	13	14	0	12	16	4	8	12	4	11	26	15	8	6	0	16	14	4	8	18	11	6	1	1	13	2	7	17	5	8	7	11	13	4	3	12
napC	42	122	71	105	194	91	147	65	186	55	85	91	46	98	181	79	82	143	64	68	84	34	82	101	51	150	52	58	27	28	112	171	38	96	95	45	64	42	84	92	30	32	57
narB	144	52	150	102	177	155	99	100	70	18	111	85	93	85	110	59	100	106	70	78	52	150	224	145	80	104	126	89	125	125	62	79	53	75	53	43	94	43	109	166	75	35	266
narC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
narG	644	350	1526	1242	2382	612	1628	819	826	676	617	1452	885	602	1138	933	1774	666	1222	753	599	1160	868	863	1552	1548	1250	1139	1809	1011	936	748	413	405	1032	556	498	2268	2057	910	1654	844	866
narH	341	190	820	552	1344	301	816	447	479	366	252	818	562	308	585	479	841	370	643	340	392	618	450	492	801	893	610	505	1077	439	492	372	245	217	559	314	237	1048	981	366	772	465	361
narI	1	2	13	21	65	6	35	0	1	2	19	32	3	0	5	3	17	1	13	34	14	5	19	8	16	41	21	15	5	40	10	2	3	1	7	4	4	25	51	7	19	1	22
narJ	1	0	7	4	10	4	0	0	0	2	4	0	0	2	2	0	9	0	1	0	2	4	5	0	8	2	8	2	2	1	0	0	1	0	0	0	1	0	1	1	1	0	3
narY	52	18	183	150	224	81	147	59	55	49	87	114	62	35	62	55	223	33	138	90	20	101	95	75	160	143	203	162	65	134	53	41	30	33	57	34	65	275	283	66	248	58	127
narZ	309	274	882	728	1534	384	1015	573	637	615	292	1048	490	362	668	634	1218	430	721	475	536	791	483	545	1104	1208	722	700	952	552	628	543	289	339	601	467	322	1349	1297	601	1063	604	443
nasA	156	121	356	357	563	555	592	318	427	176	285	609	299	370	455	248	563	440	364	445	126	297	554	399	379	382	454	479	343	292	160	314	166	221	211	124	409	391	505	397	315	153	415
nasB	13	1	28	31	18	16	64	1	0	4	24	30	10	7	6	9	82	5	63	12	0	8	20	5	41	1	101	42	5	12	1	13	4	1	4	0	18	60	191	4	19	5	30
nifD	104	161	281	109	420	78	588	166	319	231	102	203	53	225	379	348	449	155	145	117	332	289	88	381	389	313	106	74	128	182	448	527	403	385	106	130	62	116	146	123	218	309	46
nifH	76	183	278	154	350	59	425	263	191	179	140	179	67	175	284	254	373	136	160	125	387	214	75	362	355	413	137	126	106	169	343	461	347	287	150	296	61	218	238	141	207	312	40
nifK	25	45	60	19	43	8	47	23	54	26	17	18	5	27	61	43	69	33	21	15	59	58	19	72	68	82	10	11	42	20	95	79	59	64	6	30	3	10	19	14	32	50	5
nifW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0
nirA	38	1	41	39	71	48	23	25	19	4	31	27	32	22	24	29	16	39	29	45	27	35	58	44	17	32	30	22	69	35	9	13	23	10	12	38	44	8	54	57	20	10	47
nirB	322	288	695	845	1045	1011	1334	601	729	323	563	1311	551	844	1075	495	1420	643	913	719	275	420	815	749	748	771	1282	1057	397	463	358	696	314	483	436	135	634	1093	1204	602	542	359	975
nirD	0	0	7	15	11	2	1	8	9	0	2	3	12	9	9	17	5	18	2	8	2	6	2	8	1	0	5	16	5	2	2	1	3	0	0	0	8	4	9	10	4	3	16
nirK	46	18	114	192	225	144	166	123	29	55	83	278	127	58	72	59	179	89	202	110	93	85	129	83	247	59	270	206	78	69	40	35	69	19	170	63	109	560	253	130	263	64	130
nirS	9	551	189	304	350	64	507	242	753	369	138	213	138	163	810	512	376	222	160	123	379	83	62	362	229	977	61	111	83	57	441	558	90	272	546	391	106	70	263	75	193	157	70
nmo	453	555	757	766	790	608	801	478	366	357	614	918	323	325	639	618	968	321	818	514	488	533	734	544	698	766	874	798	527	615	498	615	526	541	567	525	416	1204	1054	515	880	494	773
norB	39	2	80	83	145	82	81	84	58	43	64	92	53	78	54	29	138	60	91	47	98	92	90	122	104	56	87	136	65	77	60	24	46	18	56	26	54	113	93	83	124	92	96
norC	1	7	20	20	28	24	42	28	43	3	11	54	32	22	19	17	41	23	35	20	27	11	17	13	22	17	20	54	43	6	10	10	11	10	38	21	42	72	27	10	74	25	22
nosZ	100	281	338	286	813	213	484	270	452	122	221	430	362	265	393	311	335	381	302	195	285	294	245	363	327	609	238	293	479	242	226	382	132	226	407	234	210	350	378	134	303	222	210
nrfA	112	205	259	532	245	362	525	628	400	569	422	365	418	531	398	298	344	529	532	546	494	261	139	303	614	616	398	361	301	100	423	193	399	118	217	492	372	333	369	120	385	421	219
nrfB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
nrfC	22	87	35	46	170	35	137	85	170	59	29	46	33	36	119	71	139	48	51	38	79	53	34	78	50	269	40	71	35	32	89	128	56	104	54	113	54	45	97	75	80	78	25
nrfD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nxrA	25	3	33	11	45	4	33	8	11	16	4	14	43	10	23	15	8	23	25	9	15	47	9	13	16	24	14	16	78	12	16	16	9	3	31	14	3	9	26	8	5	19	3
nxrB	34	22	84	34	65	25	31	20	39	36	30	42	51	32	23	79	31	47	51	28	48	51	19	30	44	39	32	20	84	43	34	36	13	46	41	37	21	24	29	31	46	22	31
pmoA	0	3	2	3	1	0	2	1	16	0	0	0	4	0	3	5	7	1	0	0	0	8	0	17	0	1	0	0	1	2	12	6	4	2	0	0	15	0	0	6	1	3	0
pmoB	0	3	0	4	0	0	2	1	26	1	1	0	7	0	11	13	11	4	1	3	0	22	1	37	0	2	0	0	5	5	41	9	10	1	0	0	0	0	0	3	7	6	0
pmoC	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soxB	530	1851	1228	1268	1565	1212	1550	1175	884	846	1747	1494	906	653	1145	1199	1498	850	1164	1161	1682	683	1241	1013	1539	1877	1537	1659	557	944	801	1608	711	1170	1674	1938	1413	1675	1825	1200	1056	604	1117
ureA	0	2	14	5	6	7	3	14	3	5	7	9	6	0	15	3	12	5	3	4	10	6	1	3	6	23	11	8	1	6	7	5	6	8	7	16	13	8	10	8	6	8	4
ureB	6	3	9	3	21	14	20	14	9	7	12	3	10	13	16	3	39	10	13	16	10	11	13	16	4	17	11	10	9	9	5	6	1	8	10	15	16	9	25	17	13	7	17
ureC	356	227	457	492	507	630	543	538	244	151	494	386	446	484	548	277	805	430	516	587	498	303	705	541	439	563	809	661	314	549	265	431	305	369	347	645	666	580	745	657	468	263	654
