# Pathway	W10	W100	W105	W111	W113	W117	W12	W123	W128	W139	W149	W154	W157	W16	W164	W169	W173	W183	W189	W193	W196	W209	W21	W215	W226	W231	W234	W250	W26	W28	W32	W38	W4	W43	W48	W53	W64	W69	W74	W79	W85	W89	W91
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	3243.5771443264	7525.8497893566	3470.0343785142	2926.8549259844	6753.3623315296	2678.4180216569	3249.1396359781	3517.4552453973	3814.4342689827	2819.8400124140	3397.8151759888	2815.8703011354	3432.3567236303	2788.0013049191	3222.4985818779	4315.0491045261	4658.1410332455	3482.5225836156	3470.5890126127	2528.0773366412	3323.1556707880	7734.8771435327	2915.0615634132	2870.8020526496	3083.6853032055	2403.1439199204	2468.9906536325	2186.2299573448	3028.9653010866	3665.8708049976	4310.1034992598	6600.7445266306	3076.6001220037	3043.5998905864	4293.5831032307	3429.6295836004	4108.1390240450	3430.0554132142	4785.8915611104	2223.5867904222	3271.1634147321	2309.8744568700	2765.1927293789
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.6534826503	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0419393999	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Nodularia.s__Nodularia_spumigena	0	0	0	0	0	0	0	2.6026388333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Nostoc.s__Nostoc_punctiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2945905889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Sorangium.s__Sorangium_cellulosum	0	0	0	0	6.6510007466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5538425182	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptomyces.s__Streptomyces_chartreusis	0	0	7.6802353398	0	9.8499635985	0	5.9193800881	0	0	0	0	0	0	0	3.7655472672	0	0	0	0	0	0	0	2.0258515211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.7794114990	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	3197.7662872290	7386.2956384898	3440.4805501815	2926.7018003769	6687.6135544179	2662.8731178522	3201.5707171916	3499.0420873556	3794.2108715878	2812.2179804926	3391.0115445099	2807.4961846603	3408.9521672701	2749.5134802527	3172.6938169153	4153.7075047527	4485.4238291096	3472.0450579108	3450.1051243277	2525.5097359651	3305.2005258172	7716.1502183909	2907.0296073267	2863.2947029789	3073.8322112217	2402.8564230665	2442.9825289908	2173.1586557828	3027.2217940927	3597.3976262805	4192.7056749314	6562.3222359152	3036.3044678714	3031.3914775720	4255.0282909712	3370.9178677101	4080.1270853997	3403.9204901333	4731.2805033970	2207.6211377583	3229.3476074736	2295.4417368682	2723.1292764496
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	1362.8116140162	1955.0500646936	1114.2742290500	1067.3517487296	2075.5582648081	771.9903067399	1169.6553297266	1031.8918524218	1169.9614981780	717.7940328609	1311.8667824071	897.8853866398	1099.8851170811	1033.4139454759	1391.9380785305	1778.3649591089	1408.4343892808	1152.3059960152	1196.7887511934	647.8964037920	839.0717448884	2964.4679312814	1059.5818348238	946.1947317155	1147.3394516333	993.0994129614	954.1428877863	948.2643154595	1243.7755863065	1008.5501651942	1432.9685925482	1523.1891407643	1154.6264413201	838.2895753277	1194.0680179409	602.7783285454	1411.0008476008	1213.2687364605	1608.1588981146	885.7586025971	1142.3747593172	703.1185329019	1088.5008553890
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	1335.0386367959	1932.4228472312	1057.5334259709	1067.0276636465	1931.9761481273	771.5609674835	1039.9462337052	1026.3943803626	1142.6790484512	661.1388134058	1291.9840007885	884.7829550981	1083.4482656813	958.6370015794	1339.9544145404	1553.1923965528	1153.6922967905	1150.8616272027	1179.1600008120	647.2063917672	835.9714015163	2898.8419425692	1003.8987423824	884.3448608800	1071.7276295430	993.0361351729	883.0354492697	943.7342899739	1239.7016141472	999.6090102960	1343.9178084498	1478.7445767010	1149.8375817471	803.4484792769	1155.3767153346	598.5196311770	1348.5804312555	1155.2816338475	1512.5187036812	802.3680094528	996.2409088010	641.5804028027	952.2325505665
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	279.9286377524	496.0178877930	311.8537635073	281.3132715281	588.7421235726	282.9963533680	290.5084340847	280.4696474143	332.7807864399	138.7069818821	242.9898134620	213.1125158269	192.1889721997	189.9849122327	298.7569199402	392.1686431450	211.3203068304	294.1060594392	270.9429171512	219.7996285886	206.0139823219	576.1701449427	256.7491096765	236.7635954986	167.7659102523	157.7557407371	160.3999607964	168.5361018486	281.6750830729	292.8308548874	352.4078831784	320.9862576495	148.9211016792	218.4257622034	298.3088102788	148.4460744400	379.9147832896	314.7025585333	472.6884258849	213.1316898322	302.3116183911	148.4010600484	232.6726033147
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified	268.8172133393	495.7701560140	311.5067011766	281.2728469815	588.1083440508	282.9105050922	289.9424356108	279.5923638353	332.6066723152	138.6930337441	242.9594490404	213.0564320393	192.1605750571	188.1191941272	294.3064565722	381.1496180254	210.9083913571	294.1060594392	270.8774870135	219.7871601032	206.0080087761	575.1494251318	256.6875807956	236.7635954986	167.7659102523	157.7545224086	160.0061275602	167.3035950973	281.1672118891	292.3733798141	348.1638353943	320.7324631777	148.9211016792	218.3599071659	298.2130921687	148.2868849055	379.6189070480	314.4025651310	472.2618000002	210.8583989200	300.8719549857	148.3958747959	227.6789401572
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	857.0414535287	2540.8584522297	884.9573316148	731.2492288766	1865.7018678140	1098.6277224517	845.3152283882	1421.6671215709	1162.1575038450	991.2472384117	931.2215288999	1242.8273527380	1062.1982714571	747.2813797513	961.9304833836	995.9463972837	1425.0228329829	1401.5086465488	1310.5921165607	1310.3756993943	1445.6162376606	2266.1515164004	953.5253143016	723.9494545437	783.9084047941	609.1670690763	557.4719461325	719.2119874497	647.4687655515	1272.5439371047	1121.1837464705	2315.7586761001	938.0127000827	946.0834801370	1427.5636549527	1378.0674450196	892.0751622347	1038.7820015036	1137.7530595789	461.9097993195	723.0657634032	665.6604605638	604.6228115290
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8313315143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacillus.s__Bacillus_megaterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0270894852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4126938845	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4874596762
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	6.0740379621	0	0	0	0	0	0	3.3114002408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6146568743	6.1483765266	0	1.7732477713
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Desulfotignum.s__Desulfotignum_phosphitoxidans	0	0	0	0	0	0	0	4.1513231111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Intrasporangium.s__Intrasporangium_calvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5653535809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Niastella.s__Niastella_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9624639076
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Sorangium.s__Sorangium_cellulosum	0	1.0685663402	0	0	5.1645281104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9038526720	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	852.4865721297	2502.5249080363	875.3658619259	731.2307468849	1851.9526746543	1094.9318271268	781.0425240244	1406.9009970811	1158.0940687626	990.3995150804	930.7142085353	1242.4825461908	1061.0842102976	740.9725465859	942.5998037240	985.9160120099	1415.7529972273	1399.9465508218	1308.9773889527	1308.2980762101	1441.2096636817	2265.0992075484	952.4734927256	722.8438647761	782.5594375961	609.1111027931	556.6647341598	717.5452130569	643.1671007284	1268.3351170171	1115.8318293437	2309.9814042386	936.8936138031	944.6832382065	1424.4927185525	1367.9634641456	891.2863638593	1035.7992698035	1099.6595572429	455.7625933982	710.7014009227	664.9820046366	594.1097483056
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	309.0668024229	588.8178611060	287.7246710900	286.8539425430	636.8704035011	251.6740280062	408.4687881741	295.6847581042	406.3803187242	250.9076956165	489.2597131346	247.9520679364	374.8812279339	230.0268939222	351.4023319435	326.8381201043	397.1836346320	343.1140987610	360.2105827212	283.5353658721	353.2108676465	739.0804491851	402.0044903984	290.6673358364	285.3868860381	273.4475571608	237.4978700007	177.9111426397	358.1981047212	233.1664424185	413.6431951452	573.6809333912	344.2795213340	275.5699395004	389.8303335434	347.3628439810	366.9781259418	351.0965820217	406.4511072976	196.0188351515	340.1992221724	251.8313870038	277.7684083143
ARGORNPROST-PWY: arginine, ornithine and proline interconversion|unclassified	308.4497109495	588.4595221397	287.3882261698	286.8539425430	635.1623631303	251.6662244672	407.7313561173	295.6226212204	406.0851191880	250.9057976169	489.1937339914	247.8473910940	374.8223757813	229.3401360425	349.5425324492	324.1154871847	397.0289077537	343.0925330380	360.1504017292	283.3132071472	353.1431471954	738.7546088370	401.9885466976	290.6379597860	285.3635507231	273.4428721991	237.0464975324	177.4118283641	358.0667146474	232.9185471291	412.3426817718	571.7954352244	344.1394813767	275.3944746853	389.5752654971	346.3996717301	366.8075802618	350.8495763691	404.9538940822	195.7559922138	339.2775891125	251.8064087537	276.9620553361
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	4041.2444090420	8302.8297417127	4100.5488987026	3467.3451189787	7962.2922160492	3225.1103061389	3630.9939132794	4327.5403149250	4210.9863007889	2896.6658378579	4005.0685238721	3205.9781792462	4009.1319894315	3083.3977539276	3954.5830328799	5128.0273961050	4751.1702247613	4183.8055916522	4339.3819722585	3137.3724584576	3764.5000635608	8429.3543599167	3294.4456997475	3104.0545951545	3380.0712297150	2587.1246083856	2815.9105480623	2417.1264147053	3544.0380583538	4233.2077294160	4784.4188122925	6970.2374516542	3696.5136589151	3046.7354279658	4303.5190683967	2787.3061990343	4725.8700204116	4218.1027013144	5224.8268931917	2731.8913165059	4003.3557028133	2112.2584507244	3250.0337497475
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4882080473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Acidovorax.s__Acidovorax_ebreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0892251594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Agrobacterium.s__Agrobacterium_tumefaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9344936248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2822017006	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Anaeromyxobacter.s__Anaeromyxobacter_dehalogenans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6934734825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	8.1851753032	0	0	0	0	0	0	16.5426823370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0709904198	25.9961650920	0	22.2512680839
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Delftia.s__Delftia_acidovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3731367073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Halomonas.s__Halomonas_boliviensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1113941788	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5792959612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Marinobacter.s__Marinobacter_adhaerens	0	0	0	0	0	0	0	0	0	0	0	2.3553911351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
